entry_time,exit_time,direction,entry,exit,sl,target,exit_reason,pnl_r,pnl_dollars,equity_after
1753887300,1753887600,long,118186.0,118639.01849999998,117959.49075000001,118639.01849999998,Target,2.0,171.65,8754.23
1753894800,1753896000,short,117711.5,117859.90049999999,117859.90049999999,117414.69900000002,SL,-1.0,-87.54,8666.68
1753910400,1753912200,short,117059.5,117248.59499999999,117248.59499999999,116681.31000000003,SL,-1.0,-86.67,8580.02
1753915800,1753918200,long,117409.0,117537.66949999999,117280.33050000001,117666.33899999998,SL,1.0,85.8,8665.82
1753918500,1753919100,long,117529.0,117786.45899999997,117400.27050000001,117786.45899999997,Target,2.0,173.32,8839.13
1753921800,1753922100,long,117920.5,118066.41674999999,117774.58325000001,118212.33349999998,SL,1.0,88.39,8927.52
1753923000,1753926600,long,118324.5,118102.91900000001,118102.91900000001,118767.66199999998,SL,-1.0,-89.28,8838.25
1753930200,1753946100,long,118408.0,118913.21449999997,118155.39275000001,118913.21449999997,Target,2.0,176.76,9015.01
1753952400,1753958700,short,118582.0,118582.0,118730.33549999999,118285.32900000003,SL,0.0,0.0,9015.01
1753960500,1753963800,short,118447.5,118447.5,118596.26849999999,118149.96300000002,SL,0.0,0.0,9015.01
1753966500,1753967400,long,118469.5,118267.33675,118267.33675,118873.8265,SL,-1.0,-90.15,8924.86
1753969500,1753982700,long,118390.5,117735.103,117735.103,119701.294,SL,-1.0,-89.25,8835.62
1753984200,1753985400,short,117904.0,117373.89000000001,118169.055,117373.89000000001,Target,2.0,176.71,9012.33
1753988400,1753989000,short,117680.0,117457.57825,117902.42175,117235.15650000001,SL,1.0,90.12,9102.45
1753990200,1753992300,short,117102.0,116555.68350000001,117375.15825,116555.68350000001,Target,2.0,182.05,9284.5
1753992900,1753993800,short,116541.5,116868.405,116868.405,115887.69,SL,-1.0,-92.84,9191.65
1753994100,1753997400,short,116554.0,116851.39649999999,116851.39649999999,115959.20700000002,SL,-1.0,-91.92,9099.74
1754002500,1754003100,short,116025.5,116233.0875,116233.0875,115610.32500000001,SL,-1.0,-91.0,9008.74
1754004300,1754005200,short,116094.5,115562.19750000001,116360.65125,115562.19750000001,Target,2.0,180.17,9188.92
1754007300,1754007600,short,115660.0,115832.8875,115832.8875,115314.225,SL,-1.0,-91.89,9097.03
1754032500,1754034900,short,114961.0,114961.0,115221.582,114439.83600000001,SL,0.0,0.0,9097.03
1754036400,1754038800,short,114367.0,114841.39199999999,114841.39199999999,113418.21600000001,SL,-1.0,-90.97,9006.06
1754043600,1754043900,long,115117.5,114987.97725000001,114987.97725000001,115376.54549999998,SL,-1.0,-90.06,8916.0
1754046000,1754046600,short,114653.5,114876.90974999999,114876.90974999999,114206.68050000002,SL,-1.0,-89.16,8826.84
1754051100,1754051400,short,115250.5,115512.22725,115512.22725,114727.04550000001,SL,-1.0,-88.27,8738.57
1754053800,1754054400,long,115841.0,115564.18900000001,115564.18900000001,116394.62199999997,SL,-1.0,-87.39,8651.18
1754057700,1754061300,long,114901.0,114901.0,114210.86600000001,116281.26799999998,SL,0.0,0.0,8651.18
1754068200,1754069400,short,114667.0,115072.50749999999,115072.50749999999,113855.98500000002,SL,-1.0,-86.51,8564.67
1754070900,1754072100,short,114414.5,114001.615,114827.385,113588.73000000001,SL,1.0,85.65,8650.32
1754078700,1754079600,short,113219.5,113549.7465,113549.7465,112559.00700000001,SL,-1.0,-86.5,8563.81
1754083800,1754085900,long,113869.0,113635.15400000001,113635.15400000001,114336.69199999998,SL,-1.0,-85.64,8478.18
1754092200,1754093400,short,113186.0,113376.65999999999,113376.65999999999,112804.68000000002,SL,-1.0,-84.78,8393.39
1754096100,1754096700,long,113697.0,113697.0,113535.70375,114019.5925,SL,0.0,0.0,8393.39
1754107200,1754111100,long,113815.0,113923.88149999999,113706.11850000001,114032.76299999998,SL,1.0,83.93,8477.33
1754118000,1754118600,long,113672.5,113548.69725000001,113548.69725000001,113920.10549999998,SL,-1.0,-84.77,8392.55
1754121300,1754123400,long,113946.5,113801.07100000001,113801.07100000001,114237.35799999998,SL,-1.0,-83.93,8308.63
1754129700,1754130000,short,113579.0,113579.0,113680.81199999999,113375.37600000002,SL,0.0,0.0,8308.63
1754131500,1754133900,short,113472.5,113652.29775,113652.29775,113112.9045,SL,-1.0,-83.09,8225.54
1754139900,1754141100,short,113585.0,113323.34100000001,113715.82949999999,113323.34100000001,Target,2.0,164.51,8390.05
1754141400,1754141700,short,113402.5,113402.5,113505.22425,113197.0515,SL,0.0,0.0,8390.05
1754149800,1754150700,short,112961.0,112823.97925,113098.02075,112686.95850000001,SL,1.0,83.9,8473.95
1754154900,1754156100,long,113347.5,113198.37250000001,113198.37250000001,113645.75499999998,SL,-1.0,-84.74,8389.21
1754160600,1754162700,short,112261.0,112611.2775,112611.2775,111560.445,SL,-1.0,-83.89,8305.32
1754170500,1754171100,long,112641.5,112821.25899999999,112461.74100000001,113001.01799999998,SL,1.0,83.05,8388.38
1754171700,1754172900,long,112961.5,112734.10475000001,112734.10475000001,113416.29049999997,SL,-1.0,-83.88,8304.49
1754179200,1754180100,short,112549.0,112737.84074999999,112737.84074999999,112171.31850000002,SL,-1.0,-83.04,8221.45
1754182500,1754183100,long,112729.0,112954.77974999999,112503.22025000001,113180.55949999997,SL,1.0,82.21,8303.66
1754189700,1754191200,long,113383.0,113467.67749999999,113298.32250000001,113552.35499999998,SL,1.0,83.04,8386.7
1754192700,1754193600,long,113597.5,113440.25150000001,113440.25150000001,113911.99699999997,SL,-1.0,-83.87,8302.83
1754208000,1754210100,long,113668.5,113559.19200000001,113559.19200000001,113887.11599999998,SL,-1.0,-83.03,8219.8
1754216100,1754217900,long,113672.5,113778.8115,113566.1885,113885.12299999999,SL,1.0,82.2,8302.0
1754218200,1754219100,long,113792.0,113976.75649999999,113699.62175,113976.75649999999,Target,2.0,166.04,8468.04
1754219400,1754219700,long,113926.0,114051.9285,113800.0715,114177.85699999999,SL,1.0,84.68,8552.72
1754229000,1754229900,short,113852.0,114002.47275,114002.47275,113551.0545,SL,-1.0,-85.53,8467.19
1754233500,1754235600,short,113701.0,113855.39924999999,113855.39924999999,113392.20150000002,SL,-1.0,-84.67,8382.52
1754235900,1754245500,long,113825.0,114268.65999999997,113603.17000000001,114268.65999999997,Target,2.0,167.65,8550.17
1754249700,1754250600,long,114608.5,114316.31325,114316.31325,115192.87349999999,SL,-1.0,-85.5,8464.67
1754255400,1754258400,long,114430.5,114430.5,114284.82900000001,114721.84199999998,SL,0.0,0.0,8464.67
1754275500,1754286900,short,114590.5,114362.11925,114818.88075,114133.7385,SL,1.0,84.65,8549.32
1754288400,1754289600,short,114218.0,114400.1715,114400.1715,113853.657,SL,-1.0,-85.49,8463.82
1754293800,1754295900,long,114660.0,114471.23575,114471.23575,115037.52849999999,SL,-1.0,-84.64,8379.19
1754300400,1754302200,short,114559.0,114395.66750000001,114722.33249999999,114232.33500000002,SL,1.0,83.79,8462.98
1754304600,1754308500,short,114284.5,114463.70324999999,114463.70324999999,113926.09350000002,SL,-1.0,-84.63,8378.35
1754320500,1754321400,long,114959.0,114721.11075,114721.11075,115434.77849999999,SL,-1.0,-83.78,8294.56
1754322300,1754323200,short,114667.5,114890.41649999999,114890.41649999999,114221.66700000002,SL,-1.0,-82.95,8211.62
1754327100,1754328600,long,115389.0,115389.0,115170.88575,115825.2285,SL,0.0,0.0,8211.62
1754333100,1754334900,short,115062.0,115062.0,115261.602,114662.796,SL,0.0,0.0,8211.62
1754335800,1754337600,short,114894.5,114722.4955,115066.5045,114550.49100000001,SL,1.0,82.12,8293.74
1754342400,1754347800,long,115004.0,115186.93925,114821.06075,115369.87849999999,SL,1.0,82.94,8376.67
1754357400,1754364000,short,114750.5,114294.57900000003,114978.46049999999,114294.57900000003,Target,2.0,167.53,8544.21
1754366700,1754367000,short,114224.5,114295.61924999999,114295.61924999999,114082.26150000002,SL,-1.0,-85.44,8458.76
1754385000,1754386200,long,114343.0,114492.62525,114193.37475,114642.2505,SL,1.0,84.59,8543.35
