entry_time,exit_time,direction,entry,exit,sl,target,exit_reason,pnl_r,pnl_dollars,equity_after
1754571300,1754573100,short,116330.0,116330.0,116500.72124999999,115988.55750000002,SL,0.0,0.0,11239.19
1754573700,1754584800,long,116469.0,116096.9225,116096.9225,117213.155,SL,-1.0,-112.39,11126.8
1754585400,1754595300,short,116046.5,116782.362,116782.362,114574.77600000001,SL,-1.0,-111.27,11015.53
1754604600,1754604900,short,117171.0,117325.6335,117325.6335,116861.73300000001,SL,-1.0,-110.16,10905.37
1754605200,1754609700,long,117250.0,117250.0,116952.99425,117844.0115,SL,0.0,0.0,10905.37
1754612700,1754613300,short,116988.5,117510.22575,117510.22575,115945.0485,SL,-1.0,-109.05,10796.32
1754614500,1754617500,long,117324.0,116774.58350000001,116774.58350000001,118422.83299999998,SL,-1.0,-107.96,10688.36
1754636400,1754642100,long,116698.5,116435.75300000001,116435.75300000001,117223.99399999998,SL,-1.0,-106.88,10581.47
1754642400,1754661600,short,116456.0,116950.446,116950.446,115467.10800000001,SL,-1.0,-105.81,10475.66
1754664000,1754730600,short,116443.5,117301.6215,117301.6215,114727.25700000001,SL,-1.0,-104.76,10370.9
1754738400,1754772000,short,117232.5,116798.19600000001,117666.80399999999,116363.89200000002,SL,1.0,103.71,10474.61
1754775300,1754793000,short,116507.5,116825.88375,116825.88375,115870.73250000001,SL,-1.0,-104.75,10369.86
1754804100,1754811900,short,118111.0,117666.75200000001,118555.24799999999,117222.50400000002,SL,1.0,103.7,10473.56
1754814900,1754856900,long,118166.0,118166.0,117521.21,119455.57999999999,SL,0.0,0.0,10473.56
1754857200,1754863500,short,118118.0,118750.3455,118750.3455,116853.30900000001,SL,-1.0,-104.74,10368.83
1754875500,1754875800,short,119054.0,119375.15775,119375.15775,118411.6845,SL,-1.0,-103.69,10265.14
1754876400,1754878800,long,119729.5,121384.46149999998,118902.01925000001,121384.46149999998,Target,2.0,205.3,10470.44
1754897700,1754910300,short,121850.5,120803.187,122374.1565,120803.187,Target,2.0,209.41,10679.85
1754922000,1754922900,long,120010.0,120292.89349999999,119727.10650000001,120575.78699999998,SL,1.0,106.8,10786.65
1754923200,1754932500,long,120282.5,119706.61675,119706.61675,121434.2665,SL,-1.0,-107.87,10678.78
1754953500,1754992800,long,118836.0,118264.33825,118264.33825,119979.3235,SL,-1.0,-106.79,10572.0
1755002400,1755015300,long,118955.5,119725.62225,118185.37775,120495.7445,SL,1.0,105.72,10677.72
1755020400,1755022500,short,119394.0,119884.41225,119884.41225,118413.17550000001,SL,-1.0,-106.78,10570.94
1755023100,1755051300,long,119781.5,119076.432,119076.432,121191.636,SL,-1.0,-105.71,10465.23
1755057600,1755057900,long,119447.5,119640.65699999999,119254.34300000001,119833.81399999998,SL,1.0,104.65,10569.88
1755060900,1755067800,short,119381.5,119381.5,119793.867,118556.766,SL,0.0,0.0,10569.88
1755069000,1755072600,long,119353.5,119680.04324999999,119026.95675000001,120006.58649999998,SL,1.0,105.7,10675.58
1755090000,1755091500,short,120266.5,120672.80625,120672.80625,119453.88750000001,SL,-1.0,-106.76,10568.82
1755091800,1755092400,long,120621.0,120117.91100000001,120117.91100000001,121627.17799999999,SL,-1.0,-105.69,10463.14
1755098100,1755105600,short,120983.5,121775.8575,121775.8575,119398.785,SL,-1.0,-104.63,10358.5
1755111600,1755112200,short,121554.0,121923.43125,121923.43125,120815.13750000001,SL,-1.0,-103.59,10254.92
1755122700,1755123000,short,122840.0,122927.43299999999,122927.43299999999,122665.13400000002,SL,-1.0,-102.55,10152.37
1755136500,1755140700,short,123491.5,123886.41225,123886.41225,122701.67550000001,SL,-1.0,-101.52,10050.85
1755143400,1755149100,short,123515.5,122784.68100000001,123880.9095,122784.68100000001,Target,2.0,201.02,10251.86
1755197400,1755265200,long,118064.0,118064.0,117055.443,120081.114,SL,0.0,0.0,10251.86
1755279300,1755287100,long,117489.0,116885.02825,116885.02825,118696.9435,SL,-1.0,-102.52,10149.34
1755291000,1755292500,long,117211.5,116967.98675000001,116967.98675000001,117698.52649999998,SL,-1.0,-101.49,10047.85
1755293100,1755297000,short,117164.0,117388.16475,117388.16475,116715.67050000001,SL,-1.0,-100.48,9947.37
1755300600,1755306900,short,117145.0,117781.8615,117781.8615,115871.277,SL,-1.0,-99.47,9847.9
1755312300,1755318300,short,117503.5,117762.35174999999,117762.35174999999,116985.79650000003,SL,-1.0,-98.48,9749.42
1755318900,1755326100,long,117714.0,117321.31000000001,117321.31000000001,118499.37999999998,SL,-1.0,-97.49,9651.93
1755330300,1755338100,long,117599.5,117283.32900000001,117283.32900000001,118231.84199999998,SL,-1.0,-96.52,9555.41
1755338400,1755349200,short,117272.5,117726.33374999999,117726.33374999999,116364.83250000002,SL,-1.0,-95.55,9459.85
1755360000,1755380400,short,117639.0,117476.62875,117801.37125,117314.2575,SL,1.0,94.6,9554.45
1755395100,1755406200,long,117346.0,117830.16249999998,117103.91875000001,117830.16249999998,Target,2.0,191.09,9745.54
1755414000,1755420300,short,117888.0,118117.029,118117.029,117429.94200000001,SL,-1.0,-97.46,9648.08
1755433800,1755438600,short,118200.0,118381.161,118381.161,117837.67800000001,SL,-1.0,-96.48,9551.6
1755438900,1755447300,long,118454.5,117973.9835,117973.9835,119415.533,SL,-1.0,-95.52,9456.09
1755447600,1755457500,short,117976.0,117612.86,118339.14,117249.72,SL,1.0,94.56,9550.65
1755467400,1755471900,long,117660.0,117820.779,117499.221,117981.55799999999,SL,1.0,95.51,9646.16
1755473400,1755480300,short,117507.0,117022.0335,117991.9665,116537.06700000001,SL,1.0,96.46,9742.62
1755494100,1755495300,long,115631.0,115306.318,115306.318,116280.364,SL,-1.0,-97.43,9645.19
1755495900,1755523800,short,115117.5,115695.31874999999,115695.31874999999,113961.86250000002,SL,-1.0,-96.45,9548.74
